"Uf","IBGE","Municipio","CNES","Estabelecimento","INE""Populaçao"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0001638572","3311"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439282","887"
"MS","500230","BRASILÂNDIA","2612003","UNIDADE BASICA DE SAUDE DE BRASILANDIA","0000438731","0"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0000439711","1390"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0000439703","1808"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439053","998"
"MS","500270","CAMPO GRANDE","0010162","SESAU UBS DR IVAN HIDELBRAND DA COSTA BURITI","0000439061","2103"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0001482696","1194"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439835","910"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675958","1096"
"MS","500627","PARAÍSO DAS ÁGUAS","7191561","ESF ARISTOTELES GARCIA VIDA","0001476742","2714"
"MS","500830","TRÊS LAGOAS","2757095","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE MIGUEL NUNES","0001685589","0"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0001707906","15"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0001711717","27"
"MS","500370","DOURADOS","2711125","UNIDADE BASICA DE SAUDE PARQUE DAS NACOES II","0000441988","2836"
"MS","500370","DOURADOS","5592593","UNIDADE BASICA DE SAUDE DRA HELENA YOSHIE MORIBE","0001623109","2881"
"MS","500370","DOURADOS","2711044","UNIDADE BASICA DE SAUDE ANTONIA MARQUES VILA VARGAS","0000441848","2106"
"MS","500370","DOURADOS","3239837","UNIDADE BASICA DE SAUDE ANTONIO DA COSTA CARVALHO","0000442054","2766"
"MS","500370","DOURADOS","2710838","UNIDADE BASICA DE SAUDE ALTAIR RAMIRES DE SOUZA DONA NEGA","0000441686","1828"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441732","2604"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441716","2420"
"MS","500375","ELDORADO","5395062","PROGRAMA DE SAUDE DA FAMILIA OSVALDO TURQUINO","0000442259","4425"
"MS","500380","FÁTIMA DO SUL","2599392","ESTRATEGIA SAUDE DA FAMILIA JARDIM O PIONEIRO","0000442305","3384"
"MS","500400","GLÓRIA DE DOURADOS","2376504","UNIDADE BASICA DE SAUDE DE GLORIA DE DOURADOS","0000442348","2570"
"MS","500400","GLÓRIA DE DOURADOS","2558718","UNIDADE DE SAUDE DA FAMILIA COHAB","0000442356","1858"
"MS","500410","GUIA LOPES DA LAGUNA","2376229","UNIDADE DE SAUDE DA FAMILIA RANOLFO PEREIRA DA SILVA","0000442372","3385"
"MS","500430","IGUATEMI","5342244","UNIDADE DE SAUDE DA FAMILIA ASSENTAMENTO AUXILIADORA","0000442445","1815"
"MS","500440","INOCÊNCIA","2536803","UESF SEBASTIAO FRANCISCO RAMOS","0000442488","1147"
"MS","500490","JARAGUARI","2651467","UNIDADE DE SAUDE FAMILIA I","0001483129","1301"
"MS","500510","JATEÍ","2646803","UNIDADE DE SAUDE DA FAMILIA GLEBA NOVA ESPERANCA","0000442909","1406"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0001614843","1364"
"MS","500270","CAMPO GRANDE","7568835","SESAU USF MARIA IVONE DE O NASCIMENTO ARAKAKI VILA FERNANDA","0001644483","2808"
