"Uf","IBGE","Municipio","CNES","Estabelecimento","INE","Sigla da equipe","Populaçao"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR SEBASTIAO ELOY PEREIRA JARDIM AERO RANCHO","0000439754","-","4211"
"MS","500730","RIO NEGRO","2646862","UNIDADE BASICA DE SAUDE RIO NEGRO","0001554220","eAPP","44"
"MS","500790","SIDROLÂNDIA","7040938","POSTO DE SAUDE INDIGENA ALDEIA TERERE","0002123614","eAP","0"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0000439835","-","2253"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439282","-","2571"
"MS","500230","BRASILÂNDIA","2710730","UNIDADE SAUDE DA FAMILIA II DR ANDRE PUCCINELLI","0001545094","eAPP","57"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675958","-","3802"
"MS","500270","CAMPO GRANDE","0010154","SESAU UBS DR ASTROGILDO CARMONA CARLOTA","0001482696","-","4326"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0002277727","eAP","670"
"MS","500660","PONTA PORÃ","3830497","UNIDADE BASICA DE SAUDE DA FAMILIA JOSE ALBERTO F NEVES","0000444006","eCR","82"
"MS","500348","DOIS IRMÃOS DO BURITI","6254896","PENITENCIARIA DE DOIS IRMAOS DO BURITI","0000441627","eAPP","962"
"MS","500660","PONTA PORÃ","6032826","UNIDADE PRISIONAL MASCULINA DE PONTA PORA","0000444065","eAPP","1199"
"MS","500570","NAVIRAÍ","6150616","UNIDADE DE SAUDE PRISIONAL","0000443344","eAPP","1667"
"MS","500330","COXIM","7468407","UNIDADE PRISIONAL AGEPEN COXIM","0001519859","eAPP","613"
"MS","500270","CAMPO GRANDE","7975783","MODULO DE SAUDE DO COMPLEXO PENITENCIARIO DE CAMPO GRANDE MS","0001613480","eAPP","3564"
"MS","500570","NAVIRAÍ","2374250","CENTRO DE SAUDE DR ANTONITO PIRES DE SOUZA","0002287595","eAP","1092"
"MS","500450","ITAPORÃ","2360993","ESF PIONEIRA ARLEI DO NASCIMENTO TEIXEIRA","0002275414","eAPP","0"
"MS","500270","CAMPO GRANDE","0010324","SESAU USF DR WILLIAN MACKSOUD ESTRELA DO SUL","0000439428","eSF","3637"
"MS","500270","CAMPO GRANDE","3005690","SESAU USF JARDIM NOROESTE","0002296926","eSF","1077"
"MS","500270","CAMPO GRANDE","3499642","SESAU USF DR NASRI SIUFI JARDIM PRESIDENTE","0002282070","eSF","1563"
"MS","500830","TRÊS LAGOAS","2757044","UNIDADE BASICA DE SAUDE ALTAIR CABRAL TRANIM","0002172216","eAP-30h","1646"
"MS","500370","DOURADOS","2710897","UNIDADE BASICA DE SAUDE VILA ROSA","0001638572","eAP-30h","6015"
"MS","500770","SETE QUEDAS","9921613","UNIDADE BASICA DA SAUDE DA FAMILIA DE SETE QUEDAS","0000444596","eSF","3533"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439967","eSF","3279"
"MS","500320","CORUMBÁ","2536684","UNIDADE BASICA DE SAUDE NOVA CORUMBA","0000441163","eSF","4081"
"MS","500295","CHAPADÃO DO SUL","0927988","UNIDADE DA ESTRATEGIA DA SAUDE DA FAMILIA ESPLANADA","0002226200","eSF","3891"
"MS","500345","DEODÁPOLIS","2558823","ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANTONIO","0000441546","eSF","2832"
"MS","500370","DOURADOS","2710862","UNIDADE BASICA DE SAUDE DR MOACIR STEIN ARRUDA","0000441732","eSF","3240"
