Uf,Ibge,Municipio,Atendimento Individual,Atendimento Odontológico,Procedimento,Visita Domiciliar,,Total
MS,500490,JARAGUARI,0,0,1,0,,28017
MS,500540,MARACAJU,0,0,1,0,,
MS,500840,VICENTINA,0,0,1,0,,
MS,500390,FIGUEIRÃO,0,0,1,0,,
MS,500560,MIRANDA,0,0,2,0,,
MS,500450,ITAPORÃ,0,0,2,0,,
MS,500085,ANGÉLICA,0,0,2,0,,
MS,500260,CAMAPUÃ,0,0,3,0,,
MS,500710,RIBAS DO RIO PARDO,0,0,3,0,,
MS,500345,DEODÁPOLIS,0,0,4,0,,
MS,500315,CORONEL SAPUCAIA,0,0,4,0,,
MS,500568,MUNDO NOVO,0,0,6,0,,
MS,500790,SIDROLÂNDIA,0,0,6,0,,
MS,500150,BANDEIRANTES,0,0,7,0,,
MS,500348,DOIS IRMÃOS DO BURITI,0,0,7,0,,
MS,500635,PARANHOS,0,0,8,0,,
MS,500769,SÃO GABRIEL DO OESTE,0,0,9,0,,
MS,500310,CORGUINHO,0,0,9,0,,
MS,500470,IVINHEMA,0,0,12,0,,
MS,500520,LADÁRIO,0,0,14,0,,
MS,500793,SONORA,0,0,15,0,,
MS,500220,BONITO,0,0,17,0,,
MS,500660,PONTA PORÃ,0,0,20,0,,
MS,500070,ANASTÁCIO,0,0,20,0,,
MS,500215,BODOQUENA,0,0,21,0,,
MS,500570,NAVIRAÍ,0,0,22,0,,
MS,500795,TACURU,0,0,22,0,,
MS,500500,JARDIM,0,0,26,0,,
MS,500430,IGUATEMI,0,0,28,0,,
MS,500480,JAPORÃ,0,0,38,0,,
MS,500325,COSTA RICA,0,0,46,0,,
MS,500750,ROCHEDO,0,0,50,0,,
MS,500020,ÁGUA CLARA,0,0,52,0,,
MS,500515,JUTI,0,0,71,0,,
MS,500124,ARAL MOREIRA,0,0,80,0,,
MS,500025,ALCINÓPOLIS,0,0,84,0,,
MS,500740,RIO VERDE DE MATO GROSSO,0,0,86,0,,
MS,500060,AMAMBAI,0,0,88,0,,
MS,500200,BATAYPORÃ,0,0,90,0,,
MS,500600,NOVA ALVORADA DO SUL,0,0,93,0,,
MS,500410,GUIA LOPES DA LAGUNA,0,0,107,0,,
MS,500240,CAARAPÓ,0,0,115,0,,
MS,500770,SETE QUEDAS,0,0,172,0,,
MS,500797,TAQUARUSSU,0,0,177,0,,
MS,500230,BRASILÂNDIA,0,0,238,0,,
MS,500090,ANTÔNIO JOÃO,0,0,278,0,,
MS,500350,DOURADINA,0,0,300,0,,
MS,500620,NOVA ANDRADINA,0,0,311,0,,
MS,500460,ITAQUIRAÍ,0,0,340,0,,
MS,500525,LAGUNA CARAPÃ,0,0,373,0,,
MS,500830,TRÊS LAGOAS,0,0,406,0,,
MS,500280,CARACOL,0,0,422,0,,
MS,500100,APARECIDA DO TABOADO,0,0,487,0,,
MS,500755,SANTA RITA DO PARDO,0,0,501,0,,
MS,500730,RIO NEGRO,0,0,557,0,,
MS,500330,COXIM,0,0,580,0,,
MS,500510,JATEÍ,0,0,824,0,,
MS,500295,CHAPADÃO DO SUL,0,0,871,0,,
MS,500320,CORUMBÁ,0,0,1.013,0,,
MS,500690,PORTO MURTINHO,0,0,1.133,0,,
MS,500720,RIO BRILHANTE,0,0,1.445,0,,
MS,500370,DOURADOS,0,0,1.552,0,,
MS,500800,TERENOS,0,0,1.896,0,,
MS,500110,AQUIDAUANA,0,0,2.690,0,,
MS,500270,CAMPO GRANDE,0,0,10.158,0,,
